date,bloque,title,tema,sentiment_score
2026-03-17 20:33:48,OrienteMedio_Qatar,Video: What we know about Israel’s assault on southern Lebanon,Conflicto Medio Oriente,-0.5859
2026-03-17 20:33:48,OrienteMedio_Qatar,What the Iran war looks like from the occupied West Bank,Conflicto Medio Oriente,-0.34
2026-03-17 20:33:48,OrienteMedio_Qatar,"Why aren’t gold prices rising, despite Iran war uncertainty?",Conflicto Medio Oriente,0.6348
2026-03-17 20:33:48,OrienteMedio_Qatar,"Liverpool vs Galatasaray: UEFA Champions League – teams, start, lineups",OTAN/UE,0.5267
2026-03-17 20:33:48,OrienteMedio_Qatar,"Israeli attacks on Lebanon may amount to war crimes, UN rights office says",Conflicto Medio Oriente,-0.7783
2026-03-17 20:33:48,OrienteMedio_Qatar,"Who is Gholamreza Soleimani, the commander of Iran’s Basij forces?",Conflicto Medio Oriente,0.0
2026-03-17 20:33:48,OrienteMedio_Qatar,US National Counterterrorism Center director Joe Kent resigns over Iran war,Conflicto Medio Oriente,-0.7351
2026-03-17 20:33:48,OrienteMedio_Qatar,US envoys meet Hamas in Cairo to salvage fragile Gaza truce,General,0.0
2026-03-17 20:33:48,OrienteMedio_Qatar,Macron prepares France for ‘an age of nuclear weapons’ as Iran war rages,Conflicto Medio Oriente,-0.7906
2026-03-17 20:33:48,OrienteMedio_Qatar,The US-Israel war on Iran is shaped by religion as much as strategy,Conflicto Medio Oriente,-0.5994
2026-03-17 20:33:48,OrienteMedio_Qatar,"Iran blames US, Israel for Hormuz tensions as crisis risks energy supplies",Conflicto Medio Oriente,-0.8591
2026-03-17 20:33:49,Rusia_TASS,"Lavrov, Fidan discuss Iran war, energy projects — Russian Foreign Ministry",Conflicto Medio Oriente,-0.4215
2026-03-17 20:33:49,Rusia_TASS,US allies reluctant to get involved in operation against Iran — Trump,Conflicto Medio Oriente,-0.25
2026-03-17 20:33:49,Rusia_TASS,Trump says Europe unwilling to help US with Iran after American support regarding Ukraine,Conflicto Medio Oriente,0.6597
2026-03-17 20:33:49,Rusia_TASS,Iranian soldiers write messages on missiles telling US to get out of Middle East,Conflicto Medio Oriente,0.0
2026-03-17 20:33:49,Rusia_TASS,Spain to release up to 11.5 mln barrels from strategic oil reserves,Comercio/Petroleo,0.0
2026-03-17 20:33:49,Rusia_TASS,"Pentagon says Iran's space program ""destructed""",Conflicto Medio Oriente,-0.4404
2026-03-17 20:33:49,Rusia_TASS,Slovak PM Fico predicts worsening global oil market situation amid Iran conflict,Comercio/Petroleo,-0.6486
2026-03-17 20:33:49,Rusia_TASS,"No EU money for Ukraine until Druzhba oil flows resume, Orban says",Comercio/Petroleo,-0.296
